identifier,pitch,sex
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample15,209,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample18,186,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample25,198,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample29,199,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample31,198,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample39,196,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample50,188,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample51,167,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample59,185,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample71,202,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample77,196,1
40324438-af6e-49ac-9134-8d6eae0a3dc8/sample84,173,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample30,156,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample1,152,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample10,157,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample11,155,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample12,152,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample13,156,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample14,147,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample15,149,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample16,154,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample17,147,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample18,142,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample19,143,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample2,152,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample20,147,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample21,147,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample22,159,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample23,145,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample24,147,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample25,157,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample26,145,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample27,147,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample28,151,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample29,148,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample3,154,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample31,145,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample32,150,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample33,148,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample34,159,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample35,151,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample36,152,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample37,150,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample38,150,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample39,155,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample4,152,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample40,143,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample41,152,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample42,147,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample43,150,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample5,151,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample6,143,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample7,148,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample8,150,1
84abd9c2-66d7-41b8-8eff-7f32721ccee7/sample9,146,1
01994875-bbab-4fd0-b93b-6cc4d5f38e70/sample24,194,1
01994875-bbab-4fd0-b93b-6cc4d5f38e70/sample29,187,1
01994875-bbab-4fd0-b93b-6cc4d5f38e70/sample32,184,1
01994875-bbab-4fd0-b93b-6cc4d5f38e70/sample7,181,1
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample10,107,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample17,118,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample18,111,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample19,123,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample20,118,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample27,113,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample30,120,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample31,109,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample35,112,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample39,119,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample6,113,0
0230249c-6a80-4c96-8ca2-0f7de2564dac/sample9,126,0
02518c38-507d-4513-bad9-4ac886a6b801/sample1,126,0
02518c38-507d-4513-bad9-4ac886a6b801/sample2,133,0
02518c38-507d-4513-bad9-4ac886a6b801/sample3,134,0
02518c38-507d-4513-bad9-4ac886a6b801/sample4,130,0
02518c38-507d-4513-bad9-4ac886a6b801/sample5,133,0
02518c38-507d-4513-bad9-4ac886a6b801/sample6,131,0
02518c38-507d-4513-bad9-4ac886a6b801/sample7,132,0
02518c38-507d-4513-bad9-4ac886a6b801/sample8,140,0
02518c38-507d-4513-bad9-4ac886a6b801/sample9,136,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample31,120,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample1,121,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample10,122,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample11,120,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample12,131,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample13,129,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample14,122,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample15,115,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample16,134,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample17,122,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample18,129,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample19,122,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample2,131,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample20,126,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample21,120,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample22,117,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample23,121,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample24,124,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample26,122,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample27,122,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample28,128,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample29,124,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample3,129,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample32,129,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample33,128,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample34,124,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample35,126,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample36,123,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample37,123,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample38,122,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample39,117,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample4,127,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample40,123,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample41,119,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample42,120,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample43,121,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample5,120,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample6,128,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample7,133,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample8,123,0
02a4fda6-a58a-40e6-b79e-acd597665f74/sample9,136,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample30,126,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample1,136,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample10,136,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample11,127,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample12,142,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample13,130,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample14,133,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample15,126,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample16,127,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample17,126,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample18,141,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample19,136,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample2,135,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample20,140,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample21,135,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample22,134,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample23,129,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample24,129,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample25,132,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample26,125,0
03695a66-01d2-4c1d-833e-d10f19a99749/sample27,138,0
