identifier,pitch,sex
dev_gsxjp,106,0
dev_nkren,172,0
dev_aahtm,113,0
dev_aaoao,128,0
dev_abcsp,145,0
dev_abvwc,122,0
dev_adfcc,110,0
dev_adzuy,188,0
dev_aefjz,156,0
dev_aeglv,176,1
dev_aerzw,124,0
dev_afbvr,119,0
dev_afdyi,165,1
dev_afecb,163,0
dev_afpja,163,0
dev_aftza,148,0
dev_afxbe,119,0
dev_afzwk,216,1
dev_agato,208,1
dev_aggik,131,0
dev_agiwn,133,1
dev_agrtq,132,0
dev_ahftj,160,0
dev_ahjyd,144,1
dev_ahpvc,144,1
dev_ahrvm,144,0
dev_ahtrc,164,0
dev_uptqz,119,0
dev_uqndg,124,0
dev_uqrei,190,1
dev_urayk,129,0
dev_urdgi,163,1
dev_usihh,168,1
dev_uswsc,133,0
dev_usxdw,130,0
dev_utqpd,155,1
dev_uuylj,117,0
dev_uvckw,131,0
dev_uvdrt,174,1
dev_uvujl,115,0
dev_uwaya,184,1
dev_uwewz,213,1
dev_uwkdo,137,0
dev_uwyxx,170,1
dev_uxahn,129,0
dev_uxbsi,118,0
dev_uxntu,211,1
dev_uyzct,198,1
dev_uzfyh,190,0
dev_jcnln,127,0
dev_jcpdf,180,0
dev_jcyst,172,1
dev_jdatv,155,0
dev_jdetx,139,1
dev_jdgsx,205,1
dev_jeggm,174,0
dev_jejof,195,0
dev_jepde,168,1
dev_jewbx,155,0
dev_jfgvo,195,0
dev_jfxrj,168,1
dev_jgawy,190,1
dev_jgdld,113,0
dev_jgfdv,144,0
dev_jgrim,174,0
dev_jhdxj,188,1
dev_jhybv,145,1
dev_jhyjo,172,0
dev_jhykz,198,1
dev_jiavt,203,0
dev_jijaf,150,0
dev_jiyrm,133,0
dev_jjjcf,142,0
dev_jjrbc,97,0
dev_jjwek,119,0
dev_jkkwh,150,0
dev_jkkxc,167,0
dev_jkkxt,180,0
dev_jktef,112,0
dev_jladx,125,0
dev_jlfcy,101,0
dev_jllsh,157,0
dev_jmfgw,172,0
dev_jmfsn,124,0
dev_jmhzt,162,1
dev_fxthf,101,0
dev_fxyzg,106,0
dev_fxzld,133,0
dev_fycvi,94,0
dev_fytei,156,0
dev_fzfxi,137,0
dev_fzzok,200,0
dev_gacsp,176,1
dev_gasew,117,0
dev_gbaoi,121,0
dev_gbbnk,116,0
dev_gbhju,123,0
dev_gblzo,190,1
dev_gboce,163,0
dev_gbrux,154,1
dev_gcdla,196,1
dev_gdauv,186,0
dev_gdngc,205,1
dev_gdovf,188,1
dev_geewa,143,0
dev_gewfc,176,0
