identifier,pitch,sex
cmu_us_slt_arctic_b0502,176,1
cmu_us_slt_arctic_a0052,200,1
cmu_us_slt_arctic_b0453,177,1
cmu_us_slt_arctic_a0298,167,1
cmu_us_slt_arctic_b0192,174,1
cmu_us_slt_arctic_a0457,173,1
cmu_us_slt_arctic_a0419,170,1
cmu_us_slt_arctic_b0329,180,1
cmu_us_slt_arctic_a0502,174,1
cmu_us_slt_arctic_b0350,174,1
cmu_us_slt_arctic_a0565,176,1
cmu_us_slt_arctic_b0152,170,1
cmu_us_slt_arctic_b0254,177,1
cmu_us_slt_arctic_b0397,168,1
cmu_us_slt_arctic_b0340,176,1
cmu_us_slt_arctic_a0144,187,1
cmu_us_slt_arctic_b0118,180,1
cmu_us_slt_arctic_b0209,172,1
cmu_us_slt_arctic_b0115,181,1
cmu_us_slt_arctic_a0242,173,1
cmu_us_slt_arctic_b0384,174,1
cmu_us_slt_arctic_b0417,180,1
cmu_us_slt_arctic_a0507,163,1
cmu_us_slt_arctic_a0039,188,1
cmu_us_slt_arctic_a0386,161,1
cmu_us_slt_arctic_b0249,174,1
cmu_us_slt_arctic_a0146,178,1
cmu_us_slt_arctic_b0005,178,1
cmu_us_slt_arctic_b0272,172,1
cmu_us_slt_arctic_a0119,182,1
cmu_us_slt_arctic_b0225,182,1
cmu_us_slt_arctic_a0331,168,1
cmu_us_slt_arctic_b0404,163,1
cmu_us_slt_arctic_a0011,186,1
cmu_us_slt_arctic_b0097,176,1
cmu_us_slt_arctic_a0506,170,1
cmu_us_slt_arctic_a0452,172,1
cmu_us_slt_arctic_b0412,182,1
cmu_us_slt_arctic_a0252,168,1
cmu_us_slt_arctic_a0229,174,1
cmu_us_slt_arctic_a0132,180,1
cmu_us_slt_arctic_b0311,174,1
cmu_us_slt_arctic_a0444,172,1
cmu_us_slt_arctic_b0256,182,1
cmu_us_slt_arctic_a0195,174,1
cmu_us_slt_arctic_b0159,176,1
cmu_us_slt_arctic_b0220,170,1
cmu_us_slt_arctic_b0510,168,1
cmu_us_slt_arctic_a0085,178,1
cmu_us_slt_arctic_a0454,166,1
cmu_us_slt_arctic_b0235,176,1
cmu_us_slt_arctic_b0328,170,1
cmu_us_slt_arctic_b0018,180,1
cmu_us_slt_arctic_b0194,179,1
cmu_us_slt_arctic_b0040,180,1
cmu_us_slt_arctic_a0197,170,1
cmu_us_slt_arctic_b0319,174,1
cmu_us_slt_arctic_a0563,172,1
cmu_us_slt_arctic_b0213,172,1
cmu_us_slt_arctic_b0142,169,1
cmu_us_slt_arctic_b0032,176,1
cmu_us_slt_arctic_a0537,180,1
cmu_us_slt_arctic_a0264,174,1
cmu_us_slt_arctic_b0024,179,1
cmu_us_slt_arctic_b0528,182,1
cmu_us_slt_arctic_a0238,170,1
cmu_us_slt_arctic_b0369,178,1
cmu_us_slt_arctic_a0387,163,1
cmu_us_slt_arctic_b0136,185,1
cmu_us_slt_arctic_b0143,184,1
cmu_us_slt_arctic_b0197,183,1
cmu_us_slt_arctic_a0016,190,1
cmu_us_slt_arctic_a0462,182,1
cmu_us_slt_arctic_a0414,170,1
cmu_us_slt_arctic_a0026,190,1
cmu_us_slt_arctic_b0392,167,1
cmu_us_slt_arctic_b0482,170,1
cmu_us_slt_arctic_b0174,176,1
cmu_us_slt_arctic_b0179,184,1
cmu_us_slt_arctic_a0205,167,1
cmu_us_slt_arctic_b0257,178,1
cmu_us_slt_arctic_a0106,186,1
cmu_us_slt_arctic_a0041,188,1
cmu_us_slt_arctic_a0027,184,1
cmu_us_slt_arctic_a0520,170,1
cmu_us_slt_arctic_b0184,181,1
cmu_us_slt_arctic_a0402,172,1
cmu_us_slt_arctic_b0160,176,1
cmu_us_slt_arctic_b0514,172,1
cmu_us_slt_arctic_a0464,176,1
cmu_us_slt_arctic_b0215,182,1
cmu_us_slt_arctic_b0299,170,1
cmu_us_slt_arctic_b0189,180,1
cmu_us_slt_arctic_b0431,166,1
cmu_us_slt_arctic_a0256,162,1
cmu_us_slt_arctic_a0222,172,1
cmu_us_slt_arctic_a0028,193,1
cmu_us_slt_arctic_a0384,168,1
cmu_us_slt_arctic_a0363,172,1
cmu_us_slt_arctic_a0436,170,1
cmu_us_slt_arctic_b0503,172,1
cmu_us_slt_arctic_a0240,178,1
cmu_us_slt_arctic_b0376,178,1
cmu_us_slt_arctic_a0082,188,1
cmu_us_slt_arctic_b0114,184,1
cmu_us_slt_arctic_b0023,182,1
cmu_us_slt_arctic_b0393,171,1
cmu_us_slt_arctic_b0182,181,1
cmu_us_slt_arctic_b0147,178,1
cmu_us_slt_arctic_b0148,178,1
cmu_us_slt_arctic_a0393,168,1
cmu_us_slt_arctic_b0229,180,1
cmu_us_slt_arctic_a0212,176,1
cmu_us_slt_arctic_a0539,178,1
cmu_us_slt_arctic_a0517,167,1
cmu_us_slt_arctic_a0314,167,1
cmu_us_slt_arctic_a0081,188,1
cmu_us_slt_arctic_a0346,176,1
cmu_us_slt_arctic_b0057,180,1
cmu_us_slt_arctic_a0366,168,1
cmu_us_slt_arctic_a0216,174,1
cmu_us_slt_arctic_a0333,170,1
cmu_us_slt_arctic_a0037,188,1
cmu_us_slt_arctic_a0351,174,1
cmu_us_slt_arctic_b0449,178,1
cmu_us_slt_arctic_a0217,176,1
cmu_us_slt_arctic_b0059,180,1
cmu_us_slt_arctic_b0305,176,1
cmu_us_slt_arctic_a0088,184,1
cmu_us_slt_arctic_a0486,174,1
cmu_us_slt_arctic_a0279,171,1
cmu_us_slt_arctic_a0572,167,1
cmu_us_slt_arctic_a0376,163,1
cmu_us_slt_arctic_a0046,190,1
cmu_us_slt_arctic_a0416,167,1
cmu_us_slt_arctic_a0201,172,1
cmu_us_slt_arctic_a0259,172,1
cmu_us_slt_arctic_b0243,174,1
cmu_us_slt_arctic_b0438,172,1
cmu_us_slt_arctic_b0240,174,1
cmu_us_slt_arctic_b0280,172,1
cmu_us_slt_arctic_b0072,180,1
cmu_us_slt_arctic_a0401,163,1
cmu_us_slt_arctic_b0284,172,1
cmu_us_slt_arctic_a0382,158,1
cmu_us_slt_arctic_b0231,172,1
cmu_us_slt_arctic_a0153,181,1
cmu_us_slt_arctic_b0063,182,1
cmu_us_slt_arctic_b0201,176,1
cmu_us_slt_arctic_a0432,176,1
cmu_us_slt_arctic_b0022,186,1
cmu_us_slt_arctic_b0296,178,1
cmu_us_slt_arctic_a0590,181,1
cmu_us_slt_arctic_b0358,176,1
cmu_us_slt_arctic_b0098,182,1
cmu_us_slt_arctic_a0176,176,1
cmu_us_slt_arctic_a0055,178,1
cmu_us_slt_arctic_b0342,171,1
cmu_us_slt_arctic_b0161,181,1
cmu_us_slt_arctic_b0477,181,1
cmu_us_slt_arctic_a0547,174,1
cmu_us_slt_arctic_b0433,183,1
cmu_us_slt_arctic_b0500,167,1
cmu_us_slt_arctic_a0368,157,1
cmu_us_slt_arctic_a0375,163,1
cmu_us_slt_arctic_b0521,182,1
cmu_us_slt_arctic_b0524,176,1
cmu_us_slt_arctic_b0515,176,1
cmu_us_slt_arctic_b0428,175,1
cmu_us_slt_arctic_a0069,193,1
cmu_us_slt_arctic_b0419,166,1
cmu_us_slt_arctic_b0134,184,1
cmu_us_slt_arctic_a0138,174,1
cmu_us_slt_arctic_b0315,174,1
cmu_us_slt_arctic_b0345,174,1
cmu_us_slt_arctic_b0162,180,1
cmu_us_slt_arctic_a0077,182,1
cmu_us_slt_arctic_b0016,177,1
cmu_us_slt_arctic_a0489,163,1
cmu_us_slt_arctic_a0188,172,1
cmu_us_slt_arctic_b0424,176,1
cmu_us_slt_arctic_b0289,172,1
cmu_us_slt_arctic_b0064,176,1
cmu_us_slt_arctic_b0204,178,1
cmu_us_slt_arctic_b0415,168,1
cmu_us_slt_arctic_a0224,170,1
cmu_us_slt_arctic_b0349,172,1
cmu_us_slt_arctic_a0479,174,1
cmu_us_slt_arctic_b0093,179,1
cmu_us_slt_arctic_b0010,178,1
cmu_us_slt_arctic_b0429,174,1
cmu_us_slt_arctic_a0048,195,1
